name,line
Silver,"Hey, that's not– ...Well, yes, I am depressed. Okay."
Memphis,Mine is because I play so much Fortnite. I stay up late and go to Tilted Towers.
Memphis,"Welcome to my house. As you can see, I've knocked over many chairs because I get so tilted at the towers."
Silver,This isn't really tilted or a tower...
Memphis,"Well, you see, it's a gamer pad. Not many girls come in here cuz I get friendzoned so frequently. But that's okay."
Silver,I'd like to be in the friend zone. I'd like friends.
Memphis,It's not as pleasant as you'd think.
Memphis,They don't treat you like a friend. They treat you like an item.
Memphis,"Sometimes I wish I could be more than just an accessory to these women, but unfortunately, as a gamer, I don't get respect."
Silver,"Well, I'm not a gamer, so maybe they'll respect me!"
Memphis,That just makes you a beta cuck. That's-
Memphis,"That's the difference between you and I, Silver the Hedgehog. (resisting laughter) I'm a— I'm a alpha gamer f–"
Memphis,"Anyway... (laughs) where we— where we droppin', boys? These are all the new maps that they've added, and that's a newspaper."
Blaze,"Have you ever actually interacted with a woman in your life, Mephiles?"
Memphis,That doesn't matter. Check out this cool gem I got on eBay for $7.
Silver,It's so cool. Can I add it to my rock collection?
Sonic,OH! OH MY GOD!! SOMEONE HELP ME!!!
Silver,"Oh my god! That looked like it hurt. What do you think, Blaze?"
Silver,…Blaze?
Blaze,I didn't see it.
Memphis,Give me back my thing.
Memphis,"You see, I had to trap Sonic in the hell dimension 'cause he disrespected gamers."
Memphis,"If you-- If you still-- Anyway, welcome to my purple orb, it's time to go."
Silver,Wait... I don't... nugh!
Elise,Ughhh...
Elise,"Maybe if I-- if I keep thinking really hard, my hands will get clean."
Elise,"I really would like to eat, but there's-- huh?"
Sonic,"Elise! Elise: I really would like to eat, but there's-- huh?"
Elise,"I really would like to eat, but there's-- huh?"
Tails,Hi!
Elise,"H-How'd you get up here, guys?"
Sonic,"Nuh-uh! Oh! Elise: H-How'd you get up here, guys?"
Sonic,Nuh-uh! Oh!
Elise,I need a hug.
Sonic,"Your legs, are they okay? They look really sunburnt."
Elise,"Oh, well, you know…"
Sonic,"Yeah, I do."
Tails,"Oh no, look out!"
Eggman,I have you both-- all of you trapped here.
Eggman,"Now, you can either give her up and we play PUBG together OR..."
Eggman,"…you can stay down here and wrestle in your Fortnite, or whatever the kids are playing now."
Sonic,"PUBGs old news, Eggman!"
Tails,"Yeah, Eggman, you lame-o!"
Sonic,Tetris 99's where it's at!
Robot,NAAAANTS INGONYAMAAAA BAGITHI BABA
Sonic,"Hmm, robots in the sky!"
Tails,Robots in the sky? This is just like that dream I had once about robots in the sky.
Sonic,"Tell it to us in excruciating detail, Tails."
Tails,"Well, it was a whole dream! Bye!"
Ryan,"You fucking knew that was coming, you asshole."
Elise,Oh.
Sonic,You're heavy.
Rouge,Where the fuck are we?
Shadow,"This is the future that zoomers want, Rouge."
Shadow,This is the future of Fortnite.
Rouge,"No, this can't be the future of Fortnite. It's the best game of 2018."
Shadow,"Yeah, but this is like, 20, like, 99 or something."
Shadow,…like 99 tetri– Why is it black and white?
Rouge,I'm so confused. All my Fortnite save files are gone!
Shadow,We found the computer room!
Rouge,We found it! This is it. This is where we make our breakthrough. We're going to make a game.
Rouge,We're gonna combine all the battle royales and make a battle royale better than Fortnite ever was.
Rouge,"Come on. Shadow, you gotta be in this with me."
Shadow,You're right. And I know just the backing music.
Rouge,"Aaaand recording, go."
Shadow,(dooting the Pumpkin Hill theme)
Shadow,YES! The ultimate soundtrack for the ultimate game!
Rouge,Inspired! This is going to be the best game that's ever been made.
Rouge,"We're going to be rich, Shadow. Absolutely rich."
Rouge,All the gamers. All the gamers will be on our side.
Rouge,We'll have an army of gamers to take on the world with.
Shadow,"Y'know, you say that like it's a threatening thing, but have you ever seen a gamer in real life before?"
Rouge,"No, but they have-- they talk big shit."
Shadow,(gasp)
Rouge,What?
Shadow,"Sorry, I thought I heard a cat."
Rouge,"Oh, yeah."
Silver,Ah! Oh.
Silver,"Oh my gosh, this is- Is that what a... (♫ Mad World Instrumental ♫)"
Silver,Is that a rock too? Fuck yeah! This place rules!
Blaze,♪ All around me are familiar Blazes ♪
Blaze,♪ Worn-out Blazes ♪
Blaze,♪ Worn-out Blazes ♪
Blaze,Is that what a house looks like?
Blaze,Oh my god! This place is amazing!
Blaze,"Where am I, the future?"
Blaze,♪ Worn-out Blazes ♪
Blaze,Huh?
Blaze,I thought I heard a cat or something. I dunno.
Silver,"Oh my god, it's the guy on fire! But… he's not on fire? I gotta see what's up."
Amy,"Whoa, wait!"
Amy,"Where you goin', good lookin? Silver: No, I don't-- I don't like being touched!"
Amy,I'm gonna get all up in that crotch! Silver: Please stop! Please stop! Please-
Silver,"No, I hate this. I hate this. Please."
Amy,"You're not my boyfriend! Silver: Go away, please."
Amy,Get outta here! EEW!
Amy,Why would you touch me? Ew! Silver: Ugh! Oh my god!
Amy,EW! PERVERT!
Silver,This is the worst. This is the actual worst. Amy: Pervert! Pervert!
Silver,I wanna go home. I need-- no-- Amy: Pervert!
Silver,"Oh, and now blue guy's gone. This is-- this is-- that's just--"
Silver,My-- my whole good mood is ruined! I-I hope you're happy with yourself.
Amy,I am happy with myself! I have a positive mental attitude!
Silver,"God, I wish that were me."
Silver,"Anyway, go away!"
Amy,"You should just-- Silver: Anyway, go away!"
Amy,You should just cheer up!
Silver,No!
Amy,You can believe in yourself! Friendship!
Silver,Now you're just saying words.
Amy,Wait. Who are you?
Amy,Where are you-- No!
Silver,Hey! No! Let go! Please! Ah! You- Amy: Let go of my hand!
Elise,Ugh... Sonic: We did it!
Elise,"Uh… Thank you. Thanks, I appreciate that."
Elise,My legs are really tired from not walking though.
Elise,"You know how they, like--"
Sonic,"Oh, this? It's my arm."
Elise,Hands are so important.
Elise,When was the last time you washed your hands? I haven't washed mine in four days.
Elise,I've also been eating rocks. That's-- That's my go-to…
Sonic,Rocks?
Elise,…when I've been captured. Yeah!
Elise,"Yeah yeah yeah, they're pretty good. Sonic: Nuh-uh-uh! That's not food!"
Elise,What about grass?
Sonic,"This is food, Elise."
Elise,It's beautiful. I love your new hat.
Elise,I'm gonna name her… Alexa.
Sonic,You threw it away!
Sonic,"Bye, Alexa."
Elise,"Bye, Alexa."
Elise,"I hope she lives her best life, off in the sky."
Sonic,Me too.
Elise,She's gonna become a part of the sky. That's how it works.
Sonic,Come along with me!
Sonic,Why don't you tell me your incredibly complicated backstory...
Sonic,Complete with background visuals!
Elise,"Oh, okay. Yes. So once upon a time, I lived in a kingdom with my family,"
Elise,but the kingdom was on fire or maybe I dreamt it was on fire?
Elise,"Oh, yeah. I know I dreamt it. I dreamt it was on fire and there was a big monster-"
Elise,"Oh my gosh, the sky is so beautiful."
Elise,Eyes.
Elise,Look at the clouds. I saw a pig in the clouds. I just-- I-- But I don't know how.
Elise,It spoke to me.
Elise,It spoke to me like the fire monster.
Elise,"It said: That guy needs some mousse from his mustache, maybe a beard hydrator."
Sonic,I know where to find a mustache. Come on!
Elise,What?
Sonic,How was that?
Elise,"You know, it was all right, it wasn't great. Definitely won't recommend."
Sonic,One!
Elise,"Yeah, one."
Alfred,Oh my fucking god.
Alfred,(cackling)
Silver,"The battle royale game had a soundtrack that was so fire, it set fire to the world."
Silver,And now I need to find the hedgehog-- THERE HE IS!
Sonic,Huh? Who said that?
Sonic,Whoa!
Sonic,"Hold on, I think there's a fan."
Silver,"You must never rap again, or else the world will be destroyed!"
Sonic,Have you even heard my mixtape? It's fire!
Sonic,"AAAAAAH! Silver: Oh, I'm gonna fire at you, into a wall!"
Elise,Um. Oh my gosh. Sonic: Look... I-- I won't rap again.
Sonic,"Okay, I'll do it, I'll throw it away, I promise."
Elise,Guys! Eggman: She's taken by the snap-crackle-pop!
Sonic,"Oh, there she goes."
Silver,You stop!
Sonic,Oh! Silver: Hey!
Silver,I'm not done talking to you!
Sonic,"Okay, what do you want?"
Silver,"First, I want you to apologize. I mean, I was in the middle of talking to you."
Amy,No!
Silver,"Amy? Wait, how do I know your name?"
Amy,I TOLD YOU my name!
Silver,Oh yeah.
Sonic,Ugh.
Sonic,"Thanks Amy, maybe you can feature on my next track."
Amy,Maybe I can feature on your next what?
Sonic,See you later.
Amy,"Aw dammit, I missed my opportunity on Sonic's next album!"
Amy,"It's your fault, Silver boy!"
Amy,"I'm gonna pluck you up, melt you down and make a fucking necklace!"
Silver,"Yeah, I probably deserve it."
Amy,"Oh wait, shit. You don't make this fun 'cause you're sad!"
Silver,I'm always sad. That's just my thing. I-- I'm sorry. I'm sad. I can't--
Silver,"That's just how I be, y'know."
Silver,"That's just how I be, y'know. Amy: Well now I just feel bad."
Amy,Well now I just feel bad. Dammit.
Amy,"Alright, well, I guess, like... We could talk about, like... Future?"
Sonic,Hey Knuckles! Tails: Hey Knuckles!
Knuckles,What up? I'm listening to my Game Boy.
Knuckles,It's got the bomb tunes on it. Check-- Check out my favorite tracks.
Sonic,"Oh, Super Mario Kart?"
Tails,Not Super Mario Kart...
Tails,"(gasps) Eggman?! Eggman: We have pictures of Mario, pictures of Luigi..."
Eggman,"We have pictures of Mario, pictures of Luigi..."
Eggman,"pictures of Princess Daisy, princess of Princess Peach."
Eggman,Did you know that the FitnessGram™ Pacer Test is only done for people who like gaming Minecraft?
Sonic,Interesting.
Knuckles,"Yeah, the remix is a little hard to fucking understand, crush."
Sonic,"Yeah, it sounds like Pumpkin Hill."
Tails,"Now, Knuckles, why would you listen to music on a Game Boy? That's not what a Game Boy is for."
Knuckles,"You're right, it's what a Switch is for."
Sonic,"Not gonna say what I said last time,"
Sonic,'cause that was weird. Alright!
Tails,"Wait, what?"
Knuckles,"Hey, don't take me anywhere--"
Knuckles,Aw fuck!
Hayley,"You have found the computer room. Sonic: Oh god, here we are!"
Tails,"Where are we? (gasps) Ryan: Shut up, Hayley!"
Sonic,Eggman! Tails: Eggman!
Eggman,Welcome to the realm.
Eggman,"Now, I have the epic gamer right here!"
Elise,Hey! Sonic: No!
Eggman,Not the time to drop!
Eggman,"Now, I'm gonna be turning you all into Minecraft PS4s."
Sonic,"But Eggman, she's my heart and soul!"
Eggman,"Give me the gem right now! Sonic: But Eggman, she's my heart and soul!"
Eggman,Give me the gem right now!
Elise,No! Eggman: Give me the gem right now!
Eggman,I don't wanna hear your musky mouth. Put the gem there or I'm gonna put her in Minecraft.
Sonic,Alright.
Elise,"Sonic, don't do it!"
Sonic,Time to give up my 1-up.
Eggman,"That's right. I want that Aquafina, bitch. (slurp) I wanna sip that shit. YES!"
Sonic,WHOA!
Knuckles,üüüüüüü
Tails,Oh no! Knuckles: üüüüüüü
Eggman,"Enjoy your time in Fortnite, boys!"
Sonic,No!
Tails,No!
Sonic,"Wait, is it Fortnite or Minecraft?"
Eggman,"That's for really knowing you to find out, you goddamn nasty hedgehog son of a bitch."
Eggman,I want you gone out of my life.
Eggman,"Look at the size of my nostril, I can smell you from here!"
Elise,Why are you so rude?
Eggman,"Why are you so goddamn pale? Now, get the fuck away from me!"
Eggman,"GET OUTTA MY LIFE, SONIIIIIIIIIIIIIIIIIIC!!!!"
Tails,"Sonic, no! Aaaaah!"
Knuckles,"Eggman, I fucked your wiiiiife!"
Elise,No!
Eggman,I flushed them down the terlet.
Eggman,They'll be seen again.
Eggman,"Now, about those PUBG let's plays, we can start something tonight on twitchtv.com."
Eggman,"Wait, listen, I think we should maybe-- No, not even-- Not even PUBG. We'll go with Fortnite."
Eggman,We'll do Fortnite. We'll create Fortnite. And we'll get Todd Howard on it.
Eggman,"That way, he can make Fallout 76 battle royale."
Eggman,"Then, we have to switch over our plans."
Eggman,"That way, we create the ultimate battle royale experience. And I only need you for it."
Elise,So I'm just gonna let you keep talking and I'm just gonna meditate.
Eggman,"Now, listen, you're the key component!"
Eggman,And you listen to me. You will be my game tester. You'll test all of my battle royale experiences.
Eggman,All the gamers will look up to you. You will be gaming gamer girl queen.
Eggman,You'll have Cheeto Puffs on your fingers. And Twitch Prime will be mine!
Eggman,Now do you agree to do this… or am I gonna have to let you go on the terlet portal like those other ones did.
Elise,"To be honest, I've been visualizing a beach this whole time."
Elise,That's what my dad always told me to do when I was really stressed.
Knuckles,This isn't the beach!
Knuckles,Fuck!
Sonic,I feel like thinking about something but I don't know what.
Knuckles,"I can't think about anything, my brain is... schismed."
Sonic,"Yeah. You okay, Knuckles?"
Knuckles,"No, my corpus callosum is swollen."
Tails,My head's full of jellybeans…
Sonic,Sounds delicious.
Tails,Not really…
Shadow,You.
Sonic,Huh? I heard someone speak to me!
Rouge,"Well, hello boys."
Sonic,These towers are quite tilted.
Shadow,Yes. I tilted them myself.
Shadow,"See, we tried to make a game battle royale, but anyway--"
Tails,Look at this. You ruined everything! This is all your fault!
Knuckles,Shadow. You--
Knuckles,"Listen, you got any weed on you man? Like, since we're here--"
Shadow,"No, what are you the only one who smokes weed here, Knuckles?"
Rouge,Except for maybe Rouge. Rouge?
Sonic,Oh.
Sonic,"Speak for yourself, motherfucker!"
Shadow,"Listen, that's not important. Look!"
Sonic,I'll point at you also.
Shadow,"I'm not in the sky, dick nips."
Knuckles,"Hmm... So, dick nips, where are we going?"
Sonic,Huh? What's happening in here?
Silver,Uh...
Memphis,"As you can see, this is the optimum drop point."
Silver,Oh wait!
Memphis,"Wow, look at my orb, it's big and small!"
Sonic,"Oh, that orb looked big and small!"
Knuckles,…what the fuck?
Tails,Did you guys see that?
Sonic,What is this?
Tails,Where'd they go?
Tails,"Look, it's a big computer!"
Knuckles,…wait …what's on it?
Tails,Somebody's been playing Fortnite.
Knuckles,…aw fuck.
Tails,"Wait, no. Somebody's been building a video game. A battle royale that--"
Sonic,Oh sweet! I want to be the main character!
Shadow,Hmm… got a nice green glowy thing there?
Rouge,"It's weed, obviously."
Rouge,I was hiding it from Knuckles. He wanted it so bad. Did you see the look on his face?
Shadow,"Yes, I did, although it might be irradiated. So you might be slowly developing death."
Rouge,That's fine.
Omega,beep Rouge: That's fine.
Rouge,"We're all gonna die, anyway. What is that?"
Rouge,Looks like a weird cow or something.
Shadow,Looks like a robot that we can't possibly imagine what the voice could sound like.
Rouge,"Maybe if we, like, put weed in it we can make it work good."
Shadow,No.
Rouge,"You won't even try it? Just try my idea for once, Sonic! Uh, Shadow. Fuck."
Rouge,"Just listen to me, like, for once."
Rouge,I'm sorry that I'm bad with names.
Shadow,This is the last fucking time you confuse me with that blue asshole.
Shadow,"You did it once before, you did it again. You did it at our wedding, Rouge."
Rouge,You just look so much alike!
Silver,"You know, maybe things aren't so bad."
Silver,"I'm here, I got the nice ocean breeze."
Silver,Just alone with my thoughts.
Blaze,Hey Silver.
Silver,GODDAMNIT!
Blaze,"What, what's wrong?"
Silver,"Oh, nothing."
Silver,"Hi, Blaze. How are you?"
Blaze,I can tell you want some alone time.
Silver,"I do, but I also feel like I'm just gonna be alone longer than I want if I leave now, so let's go."
Silver,After I—move my lips a bit more.
Silver,"Y'know, Blaze, do you ever stop and think about how—"
Silver,This is really— Blaze: All the time.
Blaze,"All the time, Silver. I can never stop thinking."
Blaze,Sends me into a fit.
Blaze,"Always analyzing, always so superior to everyone around me. Just—"
Blaze,"I know so much, Silver. My brain is too good for this world."
Silver,"Oh, we're in the snow, now. Hey, look, it's a blue!"
Blaze,"Ah, yes, my echolocation located the emerald. As I suspected."
Blaze,I am superior once again.
Blaze,Sliver? We have work to do. Come with me.
Silver,"Awh, I wish I was as cool as you."
Sonic,"This place is so hot! Rouge: Knuckles, why the fuck do you have Legos on your shoes?"
Knuckles,YOU HAD THE WEED THE WHOLE TIME?!
Shadow,YOU INTERRUPTED MY BROODING—
Rouge,"Listen. I have the weed, and I have what you want, so give us what we want."
Knuckles,I need it for my concussion.
Sonic,"Okay, so hand it over! Knuckles: You can't keep my medicine away from me!"
Rouge,"No, you can't have it until you give us what we asked for— Knuckles: YOU CAN'T STOP OUR LOVE."
Rouge,What? (Alfred laughing)
Shadow,"Alright, so this is just getting into crack ship territory."
Sonic,"Okay, OBVIOUSLY this is a sore point."
Tails,"We need to go over there, and just like—fucking chill the fuck out. Everyone is so tense!"
Rouge,"Alright, so we found another— Shadow: HEY, DON'T—!"
Rouge,WHOA! Shadow: What did I JUST say?!
Sonic,Smells like pancakes!
Amy,"Sneaking, sneaking / Into the music studio"
Amy,"Sneaking into Sonic's album!~ Robots: Fuck, do I hear somethin'? I can't hear anything."
Robots,"Hey, have you started on your new single yet?"
Amy,That's his band! Wow.
Amy,I need to sneak inside the— Elise: Oh!
Amy,"Shit! Elise: Yeah—right back at ya, friend!"
Amy,What are you doing here? Elise: Uh...
Amy,"Aw, shit, what did you do?! What did you do to the album?!"
Elise,"I—I just— sneaked! (Robot noises, alarms)"
Elise,"I snea--okay! Amy: Did you leak the album? Goddammit! (Robot noises, alarms)"
Memphis,"Ah, it's so nice to be outside. Blaze: Sucks to be outside. Silver: Yeah."
Silver,"I—I agree with Blaze. You know, this was kind of nice at first, but now I'm all congested—my eyes hurt."
Memphis,"You know, I haven't been in the presence of a fair maiden in... many a year..."
Memphis,"Blaze, it's so nice to be with you. And you—you BETA ORBITER MALE—I can do without you."
Memphis,"But you make me feel stronger and smarter because you're here, so you can stay for now. Silver: Awh..."
Memphis,"Yes, I can feel myself becoming more powerful with all of your insolent little whines."
Memphis,"(Chase laughing, breaking character) I'm gonna do a little dance."
Amy,"So, let me get this straight."
Amy,"You've been—dating... Sonic? The Hedgehog? The blue one, looks like this?"
Elise,"Well—I guess? If that's my story arc, then yes!"
Amy,Yup! I can kill ya!
Amy,"I'll rip your fuckin' throat out, wear it as a fuckin' necktie! (laughter continues)"
Elise,"Oh—Okay? I have no idea what the words you just said mean, but I'm glad we're outside. It's been like—"
Elise,a week. I've lost track of time—I'm not sure if I'm a person.
Amy,"Hmm, you won't be—in just a second!~"
Amy,"So, tell me. Do you enjoy... rocks? In your stomach? Hahaha, that's a fitting punishment, I think, for stealing my boyfriend!"
Amy,"I'll fill your stomach with rocks, twinkle twinkle!"
Elise,"Actually, that's all I've been eating for the past three days."
Amy,You've been eating rocks? You're immune. Dammit!
Amy,"Alright, well how about—I run around like this, and then scare you 'til your heart stops!"
Amy,Boo! YEAAAGH!
Amy,I'm scary!
Amy,"Aw, fuck it, I can't compete."
Amy,"You have—skin, and—hands—that are like, small, and dainty, and can fit in a butthole!"
